ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,S
73,0.01,0.71,0.08,1.13,0.11,0.02,0.42,1.66,0.29,0.02,0.03,0.03,0.01,0.06,1.42,0.03,0.01,0.02,0.0,0.19,0.05,-5.33,0.25,5.15,0.4,0.07,2.71,2.33,0.0,1.66,6.4,0.39,0.0,0.12,0.01,0.16,1.05,0.04,0.03,0.97,0.61,0.92,1.23,11102.07,0.03,0.34,34.34,2.93,2.73,5.16,0.02,0.68,2.11,0.01,0.01,0.02,0.12,0.02,-0.91,0.02,0.59,0.0,0.01,0.0,0.0,570.32,9146.18,3826.9,8621.7,168.18,523.84,0.89,0.89,0.96,0.98,1.33,2.02,0.84,0.97,0.92,-0.1,0.13,1
139,0.07,0.63,0.18,1.32,0.08,0.1,0.6,3.09,0.37,0.1,0.17,0.04,0.03,0.19,1.6,0.16,0.03,0.1,0.02,0.3,0.16,-18.12,0.71,4.31,0.2,0.27,5.31,4.78,3.09,3.09,9.76,0.44,1.0,0.24,0.03,0.58,1.09,0.12,0.04,1.19,0.56,1.46,1.71,3674.0,0.2,0.17,23.91,6.4,5.48,12.07,0.02,1.6,0.5,0.05,0.02,0.07,0.74,0.08,1.34,0.06,0.47,0.0,0.01,0.0,0.06,1023.07,3886.33,3122.01,3857.9,382.05,1494.84,1.04,1.03,1.31,1.44,1.47,5.64,3.32,1.27,1.36,5.19,-0.5,1
175,0.06,0.52,0.05,1.14,0.05,0.08,0.92,1.8,0.48,0.11,0.23,0.1,0.06,0.34,1.92,0.2,0.05,0.11,0.03,0.43,0.3,-4.47,0.08,4.4,0.29,0.22,4.9,3.31,1.8,1.82,1.8,0.65,1.0,0.12,0.06,0.65,0.87,0.19,0.11,0.77,0.35,0.8,1.08,1209.0,0.13,0.35,18.99,6.88,5.13,3.0,-0.03,0.74,1.15,0.08,0.05,0.16,0.5,0.24,-4.77,0.21,0.8,0.0,0.01,0.0,0.0,711.27,4163.5,1778.37,3245.6,341.42,568.24,1.0,0.93,0.92,0.82,6.3,-778.7,0.97,0.88,0.73,0.8,-0.58,1
290,0.22,0.3,0.41,2.98,0.22,0.29,2.26,2.28,0.68,0.29,1.38,0.14,0.14,1.06,3.31,0.91,0.13,0.27,0.1,0.46,0.85,-48.61,1.08,3.55,0.07,0.4,9.71,6.68,0.0,2.29,6.42,0.78,0.0,0.92,0.12,17.6,2.92,0.31,0.14,2.05,0.21,1.79,2.03,1455.37,0.32,0.14,181.75,5.52,11.0,5.99,0.2,1.92,0.3,0.12,0.05,0.38,1.22,0.55,0.94,0.19,0.42,0.0,0.01,0.0,0.14,1864.84,4433.85,4108.99,4624.25,1270.52,3331.43,1.15,1.2,1.08,1.22,0.86,1.63,1.71,0.97,1.09,-0.75,-2.44,1
21,0.04,0.66,0.21,1.36,0.05,0.07,0.51,5.88,0.34,0.06,0.12,0.01,0.01,0.12,1.51,0.09,0.01,0.06,0.01,0.29,0.08,7.66,1.14,5.32,0.09,0.18,9.76,8.78,0.0,5.88,9.01,0.4,0.0,0.3,0.01,0.2,1.01,0.07,0.01,1.22,0.6,1.79,2.14,45189.18,0.13,0.2,27.88,13.97,9.85,31.24,0.0,0.3,0.08,0.14,0.02,0.21,2.12,0.24,1.03,0.17,2.35,0.0,0.15,0.01,0.06,1053.75,5133.23,4983.84,5897.03,354.37,1883.05,1.07,1.07,1.16,1.07,0.71,4.27,0.7,1.1,1.14,-3.17,52.03,2
43,0.03,0.7,0.04,1.08,0.0,0.09,0.45,1.62,0.32,0.06,0.2,0.09,0.04,0.2,1.42,0.09,0.06,0.06,0.02,0.32,0.11,1.94,0.07,5.44,0.37,0.2,3.44,2.28,0.15,1.66,0.99,0.55,0.09,0.21,0.04,0.12,0.51,0.11,0.07,0.71,0.47,0.63,1.11,9827.0,0.1,0.75,6.1,11.78,3.48,3.25,-0.15,0.19,0.27,0.16,0.1,0.23,0.69,0.35,8.09,0.33,2.63,0.0,0.0,0.0,0.15,671.03,2252.92,1987.72,3412.99,212.31,425.51,0.9,0.9,0.99,0.92,1.2,1.92,0.93,0.76,0.98,1.44,8.52,2
45,0.14,0.39,0.54,2.97,0.46,0.18,1.57,2.04,0.61,0.17,0.67,0.1,0.09,0.55,2.57,0.43,0.09,0.17,0.07,0.15,0.42,11.44,2.9,5.32,0.18,0.28,6.84,4.81,0.0,2.04,1.77,0.73,0.0,0.15,0.08,0.22,0.75,0.2,0.1,2.09,0.27,3.28,3.9,113528.9,0.22,0.19,3.35,12.41,7.45,10.94,-0.04,7.64,1.62,0.02,0.01,0.05,0.15,0.06,-3.06,0.02,0.1,0.0,0.0,0.0,0.0,2195.76,7302.89,6794.82,7949.28,1342.35,7205.41,1.11,1.08,1.09,1.09,1.63,8.06,1.06,1.29,1.08,-0.32,-1.14,2
63,0.08,0.65,0.17,1.37,0.04,0.09,0.54,2.2,0.35,0.12,0.2,0.06,0.06,0.21,1.54,0.19,0.04,0.12,0.03,0.31,0.19,-4.2,0.47,5.09,0.29,0.34,4.53,3.22,0.0,2.21,2.19,0.54,0.0,0.06,0.05,0.35,0.89,0.17,0.08,0.97,0.46,0.95,1.47,21232.7,0.22,0.54,9.94,5.7,4.75,6.0,-0.02,8.58,5.11,0.01,0.0,0.01,0.05,0.02,-0.68,0.01,0.07,0.0,0.01,0.0,0.07,2551.89,9688.92,5365.42,7402.06,891.4,2431.33,1.18,1.16,1.01,1.05,1.77,7.9,1.08,1.08,1.02,0.13,-0.41,2
68,0.08,0.34,0.15,1.58,0.32,0.12,1.96,0.72,0.66,0.11,0.45,0.24,0.16,0.5,2.95,0.3,0.16,0.1,0.12,0.34,0.4,11.55,0.25,5.57,0.22,0.15,2.4,1.82,0.18,0.72,4.69,0.74,0.26,0.88,0.14,4.08,1.5,0.16,0.22,1.2,0.26,1.12,1.25,54632.0,0.12,0.12,35.46,4.52,2.79,1.21,0.23,1.36,0.89,0.06,0.08,0.18,0.74,0.24,1.64,0.15,0.6,0.0,0.01,0.01,0.02,2481.84,14120.06,10570.48,16179.51,1645.23,2767.33,1.15,1.12,1.12,1.21,1.3,6.34,0.76,1.29,1.1,1.31,1.7,2
95,0.16,0.4,0.5,2.52,0.48,0.2,1.51,1.32,0.6,0.2,0.62,0.18,0.18,0.58,2.51,0.5,0.15,0.2,0.12,0.12,0.47,50.96,2.87,5.02,0.24,0.33,3.44,2.83,0.46,1.33,3.85,0.67,0.35,0.26,0.15,0.29,0.83,0.23,0.17,2.08,0.33,3.47,3.87,52409.0,0.26,0.12,2.38,7.15,4.04,7.63,-0.05,1.33,0.23,0.12,0.09,0.3,1.7,0.36,3.8,0.14,0.6,0.0,0.0,0.0,0.14,1874.46,5511.58,4938.43,5626.05,1128.32,6502.15,1.21,1.19,1.06,1.01,1.39,5.31,0.95,0.98,1.01,-21.75,4.94,2
176,0.03,0.62,0.09,1.28,0.03,0.03,0.57,1.17,0.36,0.05,0.08,0.11,0.05,0.21,1.6,0.08,0.02,0.05,0.02,0.32,0.2,-3.03,0.16,4.58,0.48,0.15,3.37,1.82,0.0,1.19,0.55,0.64,0.0,0.19,0.04,0.1,0.47,0.15,0.13,0.69,0.34,0.63,1.13,3545.13,0.07,0.8,4.31,12.41,3.46,2.05,-0.17,0.15,0.58,0.17,0.15,0.28,0.6,0.51,5.55,0.4,3.3,0.0,0.02,0.0,0.0,801.95,10119.67,1880.49,5469.65,287.18,503.56,0.95,0.95,1.01,0.89,0.88,1.98,0.8,0.84,0.83,2.34,4.61,2
195,0.07,0.63,0.14,1.25,0.07,0.1,0.59,1.51,0.37,0.11,0.17,0.08,0.07,0.19,1.59,0.17,0.06,0.1,0.05,0.3,0.15,-10.13,0.49,4.34,0.41,0.28,2.54,2.28,1.51,1.54,5.99,0.44,1.0,0.02,0.07,0.22,0.67,0.13,0.09,1.13,0.56,1.27,1.49,3152.0,0.19,0.17,4.62,4.1,2.68,5.19,-0.13,27.73,9.6,0.0,0.0,0.0,0.04,0.0,0.28,0.0,0.02,0.0,0.0,0.0,0.01,1163.68,4557.34,3363.47,4164.95,433.09,1482.76,1.18,1.15,1.09,1.15,2.4,3.51,0.98,1.39,1.06,0.04,3.61,2
200,0.02,0.6,0.21,1.49,0.05,0.03,0.7,3.93,0.41,0.03,0.07,0.01,0.01,0.06,1.68,0.05,0.01,0.03,0.01,0.37,0.05,-8.19,0.55,3.91,0.07,0.07,9.35,6.55,0.0,3.94,2.55,0.59,0.0,0.77,0.01,0.13,1.09,0.07,0.02,1.05,0.42,1.11,1.58,1685.37,0.05,0.43,23.22,29.79,9.39,10.46,0.01,-0.31,-0.12,-0.07,-0.02,-0.12,-0.4,-0.17,1.24,-0.12,-2.43,0.0,0.02,0.0,0.02,660.11,9729.46,4113.23,9246.33,273.87,729.67,1.14,1.14,1.41,1.88,1.0,2.73,1.68,1.05,1.7,-0.84,-4.73,2
218,0.05,0.94,-0.44,0.19,0.27,0.08,0.49,0.41,0.46,0.07,0.14,0.32,0.19,0.14,1.06,0.07,0.18,0.07,0.12,0.19,0.11,9.38,-0.49,4.79,2.31,0.15,0.65,0.37,0.0,0.42,0.21,0.86,0.0,0.0,0.16,3.36,0.16,0.01,0.03,0.11,0.54,0.51,0.96,-27102.68,0.11,0.88,27.72,4.86,0.76,0.45,-1.58,1.51,1.71,0.03,0.08,0.03,0.08,0.06,-85.71,0.33,0.49,0.0,0.0,0.0,0.02,1531.02,9298.69,64234.65,10496.01,702.58,781.28,1.0,0.97,1.04,1.05,1.29,4.72,1.02,1.06,2.89,0.51,-0.55,2
238,0.06,0.59,0.39,1.95,0.07,0.09,0.69,2.04,0.41,0.11,0.21,0.07,0.04,0.23,1.69,0.15,0.04,0.09,0.03,0.34,0.19,-4.42,1.97,3.96,0.22,0.21,4.82,3.36,2.04,2.07,1.42,0.59,1.0,0.37,0.04,0.12,0.62,0.14,0.07,1.36,0.41,2.06,2.97,3584.0,0.16,0.44,3.73,19.7,4.96,10.31,-0.08,0.39,0.3,0.16,0.08,0.28,0.92,0.4,1.38,0.21,1.92,0.0,0.01,0.0,0.0,560.5,2632.31,1696.06,2666.8,229.4,1157.42,1.01,1.0,0.89,0.91,1.17,0.93,0.8,0.68,0.69,133.1,-26.86,2
245,-0.01,0.77,0.1,1.22,-0.64,0.04,0.09,1.09,0.07,0.19,0.08,0.06,0.04,0.08,1.3,0.05,0.03,0.04,-0.01,0.7,0.02,-0.24,0.23,4.16,0.7,0.53,2.29,1.39,0.0,1.1,1.45,0.37,0.0,0.0,0.03,-0.08,0.95,0.06,0.05,0.74,0.47,0.15,0.85,1468.8,-0.14,4.52,8.72,2.48,2.34,2.51,-0.02,0.19,-0.44,-0.05,-0.05,-0.06,-0.16,-0.11,-26.06,-0.09,-1.39,0.0,0.0,0.0,0.0,322.58,569.61,376.12,607.07,21.64,49.89,0.94,0.61,0.6,0.91,0.67,5.29,0.48,2.34,0.72,0.15,-0.12,2
302,-0.01,0.58,-0.03,0.92,-0.01,-0.01,0.69,3.57,0.4,0.0,-0.03,0.0,0.0,-0.02,1.73,-0.02,0.0,-0.01,0.0,0.41,-0.01,1.09,-0.06,3.25,0.16,-0.03,8.66,6.21,0.0,3.59,1.25,0.56,0.0,0.04,0.0,-0.04,0.49,0.09,0.02,0.66,0.42,0.65,0.91,-60.82,-0.02,0.41,20.06,19.22,8.58,5.77,-0.06,-0.06,0.0,0.13,0.04,0.23,0.8,0.32,20.73,0.34,-10.24,0.0,0.0,0.0,0.0,8944.04,-313308.37,40929.02,-279636.96,3588.93,5805.37,0.91,0.91,0.95,0.88,0.35,0.65,0.97,0.78,0.88,1.14,-1.3,2
303,0.19,1.44,-0.81,0.38,-8.96,0.2,-0.3,8.37,-0.44,0.25,0.15,0.03,0.03,0.19,0.7,0.17,0.02,0.25,0.02,8.52,0.19,-4.49,-1.63,2.87,0.14,-0.57,6.42,5.86,0.0,8.68,3.99,-0.31,0.0,0.2,0.03,142.84,0.38,0.33,0.04,0.35,1.31,-0.88,-0.63,-593.12,-0.44,-0.29,6260.32,35.84,6.38,16.85,-0.1,0.58,0.25,0.33,0.04,0.23,2.64,0.25,-2.0,0.66,1.32,0.0,0.0,0.0,0.0,-4671.14,10432.83,6245.62,8132.58,2046.07,4119.22,0.29,0.29,0.59,0.46,0.53,1.17,0.02,0.43,1.63,0.07,-0.03,2
324,0.57,0.13,0.47,17.92,0.59,0.15,7.28,0.3,0.92,0.15,5.53,0.51,0.69,1.22,7.91,0.98,0.5,0.12,1.87,0.33,4.49,-237.3,0.93,4.17,-0.83,0.13,6.5,1.42,0.3,0.3,4.37,1.02,1.0,13.84,0.41,8.94,15.62,0.12,0.41,3.91,0.03,1.82,2.02,6919.0,0.62,0.11,4.78,6.13,10.96,0.6,2.71,-0.86,0.0,-0.66,-2.18,-5.21,-6.67,-23.86,-2.27,-1.33,-5.34,0.0,0.0,0.01,0.01,3278.95,19758.64,24247.67,24444.33,3017.87,5977.54,2.0,2.46,6.07,3.3,1.53,27.16,1.36,1.71,1.59,15.43,6.56,2
342,0.13,0.55,0.46,2.14,0.13,0.16,0.81,1.99,0.45,0.18,0.41,0.09,0.1,0.33,1.81,0.32,0.08,0.18,0.06,0.31,0.26,-12.04,3.44,3.2,0.24,0.4,4.46,3.27,1.99,1.99,2.77,0.59,1.0,0.2,0.09,0.28,1.01,0.19,0.1,1.57,0.41,3.33,4.43,736.0,0.29,0.33,4.35,6.03,4.9,14.82,0.0,-1.29,-0.16,-0.1,-0.05,-0.18,-0.67,-0.25,10.98,-0.11,-0.56,0.0,0.0,0.0,0.02,2539.95,6882.44,5878.0,6389.81,1133.52,8459.93,1.12,1.1,1.15,1.16,1.32,19.36,1.19,1.18,0.97,2.72,-0.13,2
353,-3.46,0.97,-0.08,0.92,-3.83,3.65,0.03,2.9,0.03,0.1,3.87,1.27,0.01,3.78,1.03,0.09,1.26,0.09,-1.19,3.85,-3.52,0.02,-0.58,2.96,0.32,3.32,3.09,3.0,2.9,3.01,26.85,0.06,1.0,0.21,0.03,-53.89,0.85,0.06,0.02,0.89,0.94,0.2,0.42,-71.0,-130.5,1.13,45.29,4.81,3.08,21.53,0.21,-0.99,0.01,3.51,1.21,3.6,117.48,3.71,-90.24,4.05,39.88,0.0,0.0,0.0,0.0,24843.42,180.06,10438.6,7481.45,657.72,4877.05,0.61,0.6,0.21,0.9,6.64,51.79,1.53,0.86,0.84,-43.81,0.38,2
371,-0.16,0.28,0.25,1.92,-0.16,-0.16,2.59,0.91,0.72,-0.15,-0.56,-0.15,-0.14,-0.5,3.59,-0.55,-0.17,-0.15,-0.17,0.88,-0.5,51.85,0.55,3.21,0.13,-0.21,3.99,3.98,0.91,0.96,564.0,0.72,1.0,0.64,-0.17,-0.85,1.26,-0.14,-0.15,1.91,0.28,1.54,1.55,412.0,-0.22,0.0,4.97,5.35,3.29,1.95,0.06,-1.07,0.11,0.15,0.16,0.52,236.24,0.53,1.35,0.27,-0.95,0.0,0.0,0.0,0.0,568.28,-2630.68,-2998.61,-2673.98,409.99,877.74,0.6,0.73,0.85,0.76,-12.35,-4.45,0.64,0.48,0.84,-7.62,-3.66,2
402,-0.4,0.95,0.16,1.23,-1.06,-0.43,0.06,0.91,0.06,-0.4,-0.63,-0.39,-0.31,-0.37,1.06,-0.43,-0.48,-0.41,-0.44,1.12,-0.34,11.88,0.98,2.45,1.04,-7.21,1.96,1.42,0.91,0.93,1.11,0.32,1.0,0.1,-0.45,-0.73,0.42,-0.33,-0.36,0.89,0.68,0.35,2.0,44.0,-7.1,4.65,1.65,4.06,1.33,5.69,-0.31,-2.3,0.45,0.17,0.19,0.18,0.66,0.25,2.92,0.21,-0.43,0.0,0.0,0.0,0.0,188378.38,-24645.18,-32226.88,-26125.35,10617.1,66602.22,0.41,0.56,0.82,0.84,4.72,235.44,0.75,0.85,1.45,0.97,12.82,2
411,-0.08,0.75,0.51,10.95,-0.41,-0.08,0.34,0.1,0.25,-0.07,-1.48,-0.32,-0.4,-0.04,1.34,-0.1,-0.73,-0.08,-0.73,0.66,-0.04,73.53,1.15,3.12,6.2,-0.29,3.7,0.25,0.0,0.11,0.8,0.95,0.0,2.02,-0.72,-80.56,10.93,-0.03,-0.31,0.75,0.05,0.58,2.15,671.34,-0.3,2.73,110.73,0.23,2.04,0.23,3.46,-0.46,0.26,0.16,1.58,0.22,0.24,3.21,2.54,0.29,-2.18,0.0,0.0,0.0,0.0,13097.71,-44148.56,-102869.14,-44424.3,3332.5,7544.39,0.27,0.59,1.47,0.87,-1.14,20.72,0.02,0.82,0.12,2.47,0.57,2
414,0.01,0.49,0.67,3.05,-0.1,0.01,1.05,0.25,0.51,0.03,0.04,0.05,0.11,0.03,2.05,0.06,0.05,0.03,0.04,0.61,0.02,-1.86,152.5,2.66,1.96,0.05,0.78,0.52,0.25,0.28,0.18,0.67,1.0,0.03,0.11,0.01,0.09,0.03,0.13,2.04,0.33,116.83,153.83,305.0,0.02,0.32,0.26,14.25,0.77,57.0,-1.11,-0.28,0.0,-0.03,-0.13,-0.07,-0.2,-0.1,38.69,-0.03,-1.23,0.0,0.0,0.0,0.0,1316.07,53947.37,20500.0,24979.69,673.66,153750.0,0.56,0.6,0.92,0.92,0.88,1.91,0.91,1.14,0.9,-10.78,-0.98,2
6,-0.05,0.47,0.1,1.37,0.42,-0.04,1.13,0.92,0.53,-0.06,-0.15,0.01,-0.06,0.02,2.13,-0.13,-0.04,-0.06,-0.05,0.11,-0.01,-3.77,0.15,6.76,0.4,-0.12,3.74,2.1,0.06,0.93,0.97,0.74,0.07,0.44,-0.07,-0.32,0.76,-0.01,-0.01,0.77,0.26,0.83,1.15,566092.0,-0.1,0.39,5.77,10.75,3.49,1.44,-0.07,-0.26,0.25,0.19,0.21,0.41,0.93,0.73,11.08,0.53,-3.11,0.0,0.03,-0.02,0.02,673.96,-9002.51,-26359.36,-5791.56,356.89,558.76,0.7,0.8,1.19,0.99,0.89,4.88,0.93,1.01,1.21,1.42,-0.03,3
9,0.02,0.54,0.03,1.11,0.24,0.04,0.93,0.56,0.51,0.03,0.16,0.14,0.05,0.14,1.84,0.05,0.06,0.03,0.03,0.26,0.11,5.52,0.04,6.69,0.89,0.06,2.32,0.99,0.0,0.57,0.55,0.82,0.0,0.36,0.05,0.22,0.75,0.07,0.13,0.47,0.23,0.68,1.11,128163.84,0.04,0.62,6.62,6.16,2.41,0.75,-0.12,0.16,0.34,0.12,0.21,0.22,0.38,0.51,1042.44,0.46,4.05,0.0,0.03,0.01,0.0,300.23,4245.22,2176.73,5176.07,152.34,205.28,0.92,0.93,1.02,1.02,-1.9,-10.99,0.79,1.05,1.04,-34.74,-0.94,3
20,0.07,0.61,0.09,1.2,0.37,0.09,0.67,1.31,0.4,0.11,0.2,0.11,0.01,0.23,1.65,0.02,0.07,0.01,0.05,0.03,0.19,-0.65,0.19,6.04,0.43,0.03,2.96,2.2,0.0,1.35,1.94,0.56,0.0,0.27,0.01,0.28,0.67,0.06,0.04,0.89,0.45,0.88,1.21,97215.04,0.16,0.38,5.46,7.24,2.9,2.84,-0.12,-0.95,-0.66,-0.07,-0.05,-0.11,-0.45,-0.15,23.43,-0.13,-5.47,0.0,0.01,0.0,0.0,457.92,2016.64,3151.0,14527.92,184.86,401.65,0.87,0.9,1.05,1.12,1.35,5.57,1.16,1.02,1.01,0.73,15.81,3
24,0.14,0.45,0.17,1.65,0.51,0.18,1.22,1.18,0.55,0.18,0.72,0.2,0.17,0.52,2.22,0.39,0.16,0.18,0.12,0.04,0.43,23.68,0.29,5.89,0.34,0.32,3.95,2.24,1.18,1.18,1.24,0.75,1.0,0.21,0.15,0.8,0.95,0.13,0.11,0.93,0.26,0.95,1.29,127771.0,0.26,0.36,6.6,6.27,4.62,2.04,-0.01,2.31,0.79,0.06,0.05,0.14,0.32,0.24,3.98,0.15,0.35,0.01,0.09,1.53,0.0,3036.05,9082.24,13181.5,9506.64,1668.47,2883.35,1.08,1.05,1.1,0.93,0.73,2.64,0.9,1.25,1.31,1.03,1.45,3
25,0.04,0.34,0.27,2.56,0.06,0.05,2.05,0.74,0.69,0.05,0.28,0.11,0.07,0.25,2.97,0.14,0.06,0.05,0.05,0.63,0.22,-11.55,0.48,6.06,0.32,0.07,4.18,2.15,0.0,0.77,1.55,0.85,0.0,0.77,0.06,0.21,1.47,0.08,0.11,1.31,0.17,1.23,1.53,311284.59,0.06,0.24,3.92,6.05,4.27,1.32,0.12,0.91,0.87,0.04,0.06,0.13,0.26,0.25,5.99,0.1,0.9,0.01,0.22,0.94,0.0,395.02,5726.4,3243.44,5802.76,272.38,487.78,0.86,0.87,1.15,1.21,1.18,5.98,0.91,1.22,1.13,35.42,8.78,3
26,0.04,0.35,0.06,1.26,0.57,0.06,1.84,0.56,0.65,0.05,0.23,0.18,0.09,0.28,2.84,0.14,0.1,0.05,0.07,0.08,0.23,9.9,0.09,6.17,0.45,0.07,2.14,1.5,0.56,0.58,2.28,0.75,1.0,0.58,0.09,0.52,0.97,0.09,0.16,0.88,0.25,0.94,1.09,94529.0,0.06,0.16,7.79,5.82,2.27,0.81,-0.02,0.63,0.72,0.06,0.11,0.17,0.57,0.24,-21.6,0.19,1.23,0.0,0.04,0.07,0.06,467.13,5327.32,3318.8,6255.2,302.66,439.52,0.88,0.92,1.12,1.16,0.57,3.37,1.25,1.46,1.42,0.28,-0.04,3
35,0.28,0.52,0.38,2.05,0.35,0.27,0.91,3.15,0.47,0.27,0.75,0.09,0.08,0.55,1.91,0.46,0.09,0.24,0.09,0.12,0.56,2905.13,1.52,5.22,0.11,0.51,8.61,6.0,0.2,3.38,2.8,0.63,0.06,0.46,0.08,0.93,1.22,0.25,0.08,1.43,0.36,1.88,2.51,64218.0,0.6,0.34,10.42,11.33,8.65,12.48,0.03,-1.19,-0.05,-0.24,-0.08,-0.46,-1.5,-0.65,-5.39,-0.32,-0.99,0.0,0.03,0.0,0.0,360.23,621.97,676.98,712.23,170.79,676.25,1.24,1.23,1.07,1.06,0.41,1.37,0.95,1.11,1.13,3.39,1.24,3
